parameter_id,group,subgroup,parameter,type,unit_range,rate_hz,validity_tier,what_it_measures,principal_confound,status
face.AU01,A Facial action units,A1 Upper face,Inner brow raiser,Raw,0.0-1.0 activation,30,Measured,Surprise or concern component; also plain listening behaviour,Fires constantly in normal conversational backchannel,Implemented
face.AU02,A Facial action units,A1 Upper face,Outer brow raiser,Raw,0.0-1.0 activation,30,Measured,"Surprise, emphasis, conversational punctuation",Habitual expressive style varies enormously between people,Implemented
face.AU02_L,A Facial action units,A1 Upper face,Outer brow raiser — left side,Raw,0.0-1.0,30,Measured,"Left-hemiface activation, measured independently",Habitual expressive style varies enormously between people,Implemented
face.AU02_R,A Facial action units,A1 Upper face,Outer brow raiser — right side,Raw,0.0-1.0,30,Measured,"Right-hemiface activation, measured independently",Habitual expressive style varies enormously between people,Implemented
face.AU02_asym,A Facial action units,A4 Asymmetry,Outer brow raiser — asymmetry,Derived,0.0-1.0 (|L-R|),30,Weak inference,Left-right imbalance. Spontaneous expressions are more symmetric than posed ones as a population tendency,"Facial nerve variation, unilateral habit, camera angle. Never a per-person verdict",Implemented
face.AU04,A Facial action units,A1 Upper face,Brow lowerer,Raw,0.0-1.0 activation,30,Measured,"Concentration, effortful recall, confusion","Bright screen, squinting at small text, uncorrected vision",Implemented
face.AU04_L,A Facial action units,A1 Upper face,Brow lowerer — left side,Raw,0.0-1.0,30,Measured,"Left-hemiface activation, measured independently","Bright screen, squinting at small text, uncorrected vision",Implemented
face.AU04_R,A Facial action units,A1 Upper face,Brow lowerer — right side,Raw,0.0-1.0,30,Measured,"Right-hemiface activation, measured independently","Bright screen, squinting at small text, uncorrected vision",Implemented
face.AU04_asym,A Facial action units,A4 Asymmetry,Brow lowerer — asymmetry,Derived,0.0-1.0 (|L-R|),30,Weak inference,Left-right imbalance. Spontaneous expressions are more symmetric than posed ones as a population tendency,"Facial nerve variation, unilateral habit, camera angle. Never a per-person verdict",Implemented
face.AU05,A Facial action units,A2 Mid face / periocular,Upper lid raiser,Raw,0.0-1.0 activation,30,Measured,"Alertness, surprise, startle",Wide-set eyes and eyelid anatomy shift the baseline,Implemented
face.AU05_L,A Facial action units,A2 Mid face / periocular,Upper lid raiser — left side,Raw,0.0-1.0,30,Measured,"Left-hemiface activation, measured independently",Wide-set eyes and eyelid anatomy shift the baseline,Implemented
face.AU05_R,A Facial action units,A2 Mid face / periocular,Upper lid raiser — right side,Raw,0.0-1.0,30,Measured,"Right-hemiface activation, measured independently",Wide-set eyes and eyelid anatomy shift the baseline,Implemented
face.AU05_asym,A Facial action units,A4 Asymmetry,Upper lid raiser — asymmetry,Derived,0.0-1.0 (|L-R|),30,Weak inference,Left-right imbalance. Spontaneous expressions are more symmetric than posed ones as a population tendency,"Facial nerve variation, unilateral habit, camera angle. Never a per-person verdict",Implemented
face.AU06,A Facial action units,A2 Mid face / periocular,Cheek raiser (Duchenne),Raw,0.0-1.0 activation,30,Measured,Duchenne marker; with AU12 separates felt from social smiling,Suppressed by strong under-lighting and by heavy eye makeup,Implemented
face.AU06_L,A Facial action units,A2 Mid face / periocular,Cheek raiser (Duchenne) — left side,Raw,0.0-1.0,30,Measured,"Left-hemiface activation, measured independently",Suppressed by strong under-lighting and by heavy eye makeup,Implemented
face.AU06_R,A Facial action units,A2 Mid face / periocular,Cheek raiser (Duchenne) — right side,Raw,0.0-1.0,30,Measured,"Right-hemiface activation, measured independently",Suppressed by strong under-lighting and by heavy eye makeup,Implemented
face.AU06_asym,A Facial action units,A4 Asymmetry,Cheek raiser (Duchenne) — asymmetry,Derived,0.0-1.0 (|L-R|),30,Weak inference,Left-right imbalance. Spontaneous expressions are more symmetric than posed ones as a population tendency,"Facial nerve variation, unilateral habit, camera angle. Never a per-person verdict",Implemented
face.AU07,A Facial action units,A2 Mid face / periocular,Lid tightener,Raw,0.0-1.0 activation,30,Measured,"Scrutiny, discomfort, or simply screen squint",Screen distance and glare,Implemented
face.AU07_L,A Facial action units,A2 Mid face / periocular,Lid tightener — left side,Raw,0.0-1.0,30,Measured,"Left-hemiface activation, measured independently",Screen distance and glare,Implemented
face.AU07_R,A Facial action units,A2 Mid face / periocular,Lid tightener — right side,Raw,0.0-1.0,30,Measured,"Right-hemiface activation, measured independently",Screen distance and glare,Implemented
